time,missile_x,missile_y,missile_z,drone_x,drone_y,drone_z,bomb_x,bomb_y,bomb_z,cloud_x,cloud_y,cloud_z,is_shielded,shield_distance,projection_u
24.84,12584.982858555162,0.0,1258.4982858555163,14819.2,0.0,1800.0,14819.2,0.0,-869.3024399999999,17188.0,0.0,1677.276,False,4622.027864292802,-0.3653367048528458
24.85,12581.997746984533,0.0,1258.1997746984532,14818.0,0.0,1800.0,14818.0,0.0,-871.5902500000007,17188.0,0.0,1677.246,False,4625.025026280727,-0.36566029581647047
24.86,12579.012635413903,0.0,1257.90126354139,14816.8,0.0,1800.0,14816.8,0.0,-873.8790399999998,17188.0,0.0,1677.2160000000001,False,4628.022188270671,-0.365984040274981
24.87,12576.027523843273,0.0,1257.6027523843272,14815.6,0.0,1800.0,14815.6,0.0,-876.1688100000006,17188.0,0.0,1677.1860000000001,False,4631.019350262632,-0.366307938337591
24.88,12573.042412272644,0.0,1257.3042412272644,14814.4,0.0,1800.0,14814.4,0.0,-878.4595599999998,17188.0,0.0,1677.1560000000002,False,4634.016512256604,-0.36663199011361775
24.89,12570.057300702012,0.0,1257.0057300702013,14813.2,0.0,1800.0,14813.2,0.0,-880.7512900000006,17188.0,0.0,1677.1260000000002,False,4637.0136742525865,-0.36695619571248234
24.900000000000002,12567.07218913138,0.0,1256.7072189131381,14812.0,0.0,1800.0,14812.0,0.0,-883.0440000000003,17188.0,0.0,1677.096,False,4640.010836250573,-0.36728055524370945
24.91,12564.087077560753,0.0,1256.4087077560753,14810.8,0.0,1800.0,14810.8,0.0,-885.3376900000003,17188.0,0.0,1677.066,False,4643.007998250558,-0.3676050688169276
24.92,12561.101965990121,0.0,1256.1101965990122,14809.6,0.0,1800.0,14809.6,0.0,-887.6323600000005,17188.0,0.0,1677.036,False,4646.005160252542,-0.36792973654187017
24.93,12558.116854419492,0.0,1255.8116854419493,14808.4,0.0,1800.0,14808.4,0.0,-889.9280100000001,17188.0,0.0,1677.006,False,4649.002322256517,-0.3682545585283738
24.94,12555.131742848862,0.0,1255.5131742848862,14807.2,0.0,1800.0,14807.2,0.0,-892.2246400000004,17188.0,0.0,1676.976,False,4651.999484262481,-0.3685795348863804
24.95,12552.146631278232,0.0,1255.2146631278233,14806.0,0.0,1800.0,14806.0,0.0,-894.52225,17188.0,0.0,1676.9460000000001,False,4654.996646270431,-0.36890466572593567
24.96,12549.161519707603,0.0,1254.9161519707602,14804.8,0.0,1800.0,14804.8,0.0,-896.8208400000003,17188.0,0.0,1676.9160000000002,False,4657.993808280361,-0.36922995115719015
24.97,12546.176408136973,0.0,1254.6176408136973,14803.6,0.0,1800.0,14803.6,0.0,-899.12041,17188.0,0.0,1676.8860000000002,False,4660.990970292269,-0.3695553912903992
24.98,12543.191296566343,0.0,1254.3191296566342,14802.4,0.0,1800.0,14802.4,0.0,-901.4209600000004,17188.0,0.0,1676.856,False,4663.988132306151,-0.36988098623592297
24.990000000000002,12540.206184995712,0.0,1254.0206184995714,14801.2,0.0,1800.0,14801.2,0.0,-903.7224900000006,17188.0,0.0,1676.826,False,4666.985294322004,-0.3702067361042264
25.0,12537.221073425084,0.0,1253.7221073425083,14800.0,0.0,1800.0,14800.0,0.0,-906.0250000000001,17188.0,0.0,1676.796,False,4669.98245633982,-0.3705326410058794
25.01,12534.235961854452,0.0,1253.4235961854451,14798.8,0.0,1800.0,14798.8,0.0,-908.3284900000008,17188.0,0.0,1676.766,False,4672.979618359601,-0.3708587010515581
25.02,12531.250850283823,0.0,1253.1250850283823,14797.6,0.0,1800.0,14797.6,0.0,-910.6329599999999,17188.0,0.0,1676.736,False,4675.976780381339,-0.3711849163520424
25.03,12528.265738713191,0.0,1252.8265738713194,14796.4,0.0,1800.0,14796.4,0.0,-912.9384100000007,17188.0,0.0,1676.7060000000001,False,4678.973942405034,-0.37151128701821917
25.04,12525.280627142563,0.0,1252.5280627142563,14795.2,0.0,1800.0,14795.2,0.0,-915.2448399999998,17188.0,0.0,1676.6760000000002,False,4681.971104430676,-0.37183781316107944
25.05,12522.295515571932,0.0,1252.2295515571932,14794.0,0.0,1800.0,14794.0,0.0,-917.5522500000006,17188.0,0.0,1676.6460000000002,False,4684.968266458268,-0.3721644948917215
25.060000000000002,12519.310404001302,0.0,1251.9310404001303,14792.8,0.0,1800.0,14792.8,0.0,-919.8606400000003,17188.0,0.0,1676.616,False,4687.9654284878025,-0.3724913323213483
25.07,12516.325292430673,0.0,1251.6325292430674,14791.6,0.0,1800.0,14791.6,0.0,-922.1700100000003,17188.0,0.0,1676.586,False,4690.962590519277,-0.372818325561269
